type,delimiter,extension,format,nrows,ncols,file_size,nnum_vars,nchar_vars,num_vars,char_vars,tasks,num_files,title,link,author,publisher,citation_request,description,date_submitted,date_created,tags
,,,,6611,15,NA,NA,NA,,,"classification, clustering",NA,BLE RSSI Dataset for Indoor localization and Navigation Data Set,,,,,This dataset contains RSSI readings gathered from an array of Bluetooth Low Energy (BLE) iBeacons in a real-world and operational indoor environment for localization and navigation purposes.,2018-01-25,,computer
,,,,60021,281,NA,NA,NA,,,regression,NA,BlogFeedback Data Set,,,,,Instances in this dataset contain features extracted from blog posts. The task associated with the data is to predict how many comments the post will receive.,2014-05-29,,social
,,,,100,6,NA,NA,NA,,,classification,NA,BLOGGER Data Set,,,,,"In this paper, we look for to recognize the causes of users tend",2013-07-06,,computer
,,,,748,5,NA,NA,NA,,,classification,NA,Blood Transfusion Service Center Data Set,,,,,Data taken from the Blood Transfusion Service Center in Hsin-Chu City in Taiwan -- this is a classification problem.,2008-10-03,,business
,,,,187,39,NA,NA,NA,,,"classification, regression",NA,Bone marrow transplant: children Data Set,,,,,"The data set describes pediatric patients with several hematologic diseases, who were subject to the unmanipulated allogeneic unrelated donor hematopoietic stem cell transplantation.",2020-04-21,,life
,,,,286,9,NA,NA,NA,,,classification,NA,Breast Cancer Data Set,,,,,Breast Cancer Data (Restricted Access),1988-07-11,,life
,,,,116,10,NA,NA,NA,,,classification,NA,Breast Cancer Coimbra Data Set,,,,,Clinical features were observed or measured for 64 patients with breast cancer and 52 healthy controls.,2018-03-06,,life
,,,,569,32,NA,NA,NA,,,classification,NA,Breast Cancer Wisconsin (Diagnostic) Data Set,,,,,Diagnostic Wisconsin Breast Cancer Database,1995-11-01,,life
,,,,699,10,NA,NA,NA,,,classification,NA,Breast Cancer Wisconsin (Original) Data Set,,,,,Original Wisconsin Breast Cancer Database,1992-07-15,,life
,,,,198,34,NA,NA,NA,,,"classification, regression",NA,Breast Cancer Wisconsin (Prognostic) Data Set,,,,,Prognostic Wisconsin Breast Cancer Database,1995-12-01,,life
