type,delimiter,extension,format,nrows,ncols,file_size,nnum_vars,nchar_vars,num_vars,char_vars,tasks,num_files,title,link,author,publisher,citation_request,description,date_submitted,date_created,tags
,,,,3600,4814,NA,NA,NA,,,"classification, clustering",NA,TTC-3600: Benchmark dataset for Turkish text categorization Data Set,,,,,"The TTC-3600 data set is a collection of Turkish news and articles including categorized 3,600 documents from 6 well-known portals in Turkey. It has 4 different forms in ARFF Weka format.",2017-02-08,,computer
,,,,826,2,NA,NA,NA,,,classification,NA,Turkish Spam V01 Data Set,,,,,The TurkishSpam data set contains spam and normal emails written in Turkish.,2019-04-07,,social
,,,,5820,33,NA,NA,NA,,,"classification, clustering",NA,Turkiye Student Evaluation Data Set,,,,,This data set contains a total 5820 evaluation scores provided by students from Gazi University in Ankara (Turkey). There is a total of 28 course specific questions and additional 5 attributes.,2013-09-01,,n/a
,,,,129685,12,NA,NA,NA,,,"classification, clustering",NA,TV News Channel Commercial Detection Dataset Data Set,,,,,TV Commercials data set consists of  standard audio-visual features of video shots extracted from 150 hours of TV news broadcast of 3 Indian and 2 international news channels ( 30 Hours each).,2015-03-27,,computer
,,,,20000,N/A,NA,NA,NA,,,n/a,NA,Twenty Newsgroups Data Set,,,,,This data set consists of 20000 messages taken from 20 newsgroups.,1999-09-09,,n/a
,,,,640,480000,NA,NA,NA,,,"classification, regression",NA,Twin gas sensor arrays Data Set,,,,,5 replicates of an 8-MOX gas sensor array were exposed to different gas conditions (4 volatiles at 10 concentration levels each).,2016-05-19,,computer
,,,,2000,2,NA,NA,NA,,,classification,NA,Twitter Data set for Arabic Sentiment Analysis Data Set,,,,,This problem of Sentiment Analysis (SA) has been studied well on the English language but not Arabic one. Two main approaches have been devised: corpus-based and lexicon-based.,2014-04-11,,social
,,,,9782222,N/A,NA,NA,NA,,,causal-discovery,NA,UbiqLog (smartphone lifelogging) Data Set,,,,,UbiqLog is the smartphone lifelogging tool that runs on the smartphone of 35 users for about 2 months.,2016-06-16,,computer
,,,,1364,N/A,NA,NA,NA,,,classification,NA,UJI Pen Characters Data Set,,,,,Data consists of written characters in a UNIPEN-like format,2007-06-01,,computer
,,,,11640,N/A,NA,NA,NA,,,classification,NA,UJI Pen Characters (Version 2) Data Set,,,,,A pen-based database with more than 11k isolated handwritten characters,2009-01-22,,computer
,,,,21048,529,NA,NA,NA,,,"classification, regression",NA,UJIIndoorLoc Data Set,,,,,The UJIIndoorLoc is a Multi-Building Multi-Floor indoor localization database to test Indoor Positioning System that rely on WLAN/WiFi fingerprint.,2014-09-18,,computer
,,,,40000,13,NA,NA,NA,,,"classification, regression, clustering",NA,UJIIndoorLoc-Mag Data Set,,,,,The UJIIndoorLoc-Mag is an indoor localization database to test Indoor Positioning System that rely on Earth's magnetic field variations.,2015-09-10,,computer
,,,,540,173,NA,NA,NA,,,classification,NA,Ultrasonic flowmeter diagnostics Data Set,,,,,Fault diagnosis of four liquid ultrasonic flowmeters,2018-01-13,,computer
,,,,N/A,N/A,NA,NA,NA,,,n/a,NA,Undocumented Data Set,,,,,Various datasets without documentation (feel free to explore!),N/A,,n/a
,,,,285,17,NA,NA,NA,,,classification,NA,University Data Set,,,,,Data in original (LISP-readable) form,1988-07-01,,n/a
,,,,1175,3,NA,NA,NA,,,classification,NA,University of Tehran Question Dataset 2016 (UTQD.2016) Data Set,,,,,Persian questions gathered from a jeopardy game broadcasted on Iranian national television.,2017-09-27,,n/a
,,,,N/A,N/A,NA,NA,NA,,,n/a,NA,UNIX User Data Data Set,,,,,This file contains 9 sets of sanitized user data drawn from the command histories of 8 UNIX computer users at Purdue over the course of up to 2 years.,N/A,,computer
,,,,17256,55,NA,NA,NA,,,classification,NA,Unmanned Aerial Vehicle (UAV) Intrusion Detection Data Set,,,,,"For UAV identification, each input is an encrypted WiFi traffic record while the output is whether the current traffic is from a UAV or not. Meta-info on attribute relationship is also provided.",2020-04-12,,computer
,,,,17256,55,NA,NA,NA,,,classification,NA,Unmanned Aerial Vehicle (UAV) Intrusion Detection Data Set,,,,,"For UAV identification, each input is an encrypted WiFi traffic record while the output is whether the current traffic is from a UAV or not. Meta-info on attribute relationship is also provided.",2020-04-12,,computer
,,,,168,148,NA,NA,NA,,,classification,NA,Urban Land Cover Data Set,,,,,Classification of urban land cover using high resolution aerial imagery. Intended to assist sustainable urban planning efforts.,2014-03-27,,physical
,,,,360177,2,NA,NA,NA,,,clustering,NA,"UrbanGB, urban road accidents coordinates labelled by the urban center Data Set",,,,,"Coordinates (longitude and latitude) of 360177 road accidents occurred in urban areas in Great Britain, and labelled according to the urban center where they occurred (469 possible labels).",2019-11-22,,computer
,,,,2396130,3231961,NA,NA,NA,,,classification,NA,URL Reputation Data Set,,,,,Anonymized 120-day subset of the ICML-09 URL data containing 2.4 million examples and 3.2 million features.,2009-10-15,,computer
,,,,2458285,68,NA,NA,NA,,,clustering,NA,US Census Data (1990) Data Set,,,,,The USCensus1990raw data set contains a one percent sample of the Public Use Microdata Samples (PUMS) person records drawn from the full 1990 census sample.,N/A,,social
,,,,N/A,N/A,NA,NA,NA,,,"classification, clustering",NA,User Identification From Walking Activity Data Set,,,,,The dataset collects data from an Android smartphone positioned in the chest pocket from 22 participants walking in the wild over a predefined path.,2014-03-02,,n/a
,,,,403,5,NA,NA,NA,,,"classification, clustering",NA,User Knowledge Modeling Data Set,,,,,It is the real dataset about the students' knowledge status about the subject of Electrical DC Machines. The dataset had been obtained from Ph.D. Thesis.,2013-06-26,,computer
,,,,65919,3,NA,NA,NA,,,classification,NA,User Profiling and Abusive Language Detection Dataset Data Set,,,,,The user profiling dataset is a collection of abusive users tweets and also their user following and user follower tweets. The Abusive language detection dataset is a collection of abusive tweets.,2019-04-25,,computer
,,,,306,5,NA,NA,NA,,,classification,NA,"USPTO Algorithm Challenge, run by NASA-Harvard Tournament Lab and TopCoder    Problem: Pat Data Set",,,,,Data used for USPTO Algorithm Competition. Contains drawing pages from US patents with manually labeled figure and part labels.,2013-10-13,,n/a
,,,,18,9,NA,NA,NA,,,clustering,NA,Vehicle routing and scheduling problems Data Set,,,,,Data collection was conducted through notes taken during the distribution of orders in a courier company that operates in the region and in the city of Ṣo Paulo (Brazil).,2019-10-07,,business
,,,,310,6,NA,NA,NA,,,classification,NA,Vertebral Column Data Set,,,,,"Data set containing values for six biomechanical features used to classify orthopaedic patients into 3 classes (normal, disk hernia or spondilolysthesis) or 2 classes (normal or abnormal).",2011-08-09,,n/a
,,,,3000,27,NA,NA,NA,,,classification,NA,Vicon Physical Action Data Set Data Set,,,,,The Physical Action Data Set includes 10 normal and 10 aggressive physical actions that measure the human activity. The data have been collected by 10 subjects using the Vicon 3D tracker.,2011-07-27,,physical
,,,,93600,1000,NA,NA,NA,,,classification,NA,Victorian Era Authorship Attribution Data Set,,,,,"To create the largest authorship attribution dataset, we extracted works of 50 well-known authors. To have a non-exhaustive learning, in training there are 45 authors whereas, in the testing, it's 50",2018-05-31,,computer
,,,,N/A,N/A,NA,NA,NA,,,classification,NA,Volcanoes on Venus - JARtool experiment Data Set,,,,,The JARtool project was a pioneering effort to develop an automatic system for cataloging small volcanoes in the large set of Venus images returned by the Magellan spacecraft.,N/A,,physical
,,,,5456,24,NA,NA,NA,,,classification,NA,Wall-Following Robot Navigation Data Data Set,,,,,"The data were collected as the SCITOS G5 robot navigates through the room following the wall in a clockwise direction, for 4 rounds, using 24 ultrasound sensors arranged circularly around its 'waist'.",2010-08-04,,computer
,,,,527,38,NA,NA,NA,,,clustering,NA,Water Treatment Plant Data Set,,,,,Multiple classes predict plant state,1993-06-01,,physical
